
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::                (v3.1.6)

2024-07-23T19:06:38.377Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithTimezone -> org.hibernate.type.BasicTypeReference@15051a0
2024-07-23T19:06:38.377Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration OffsetTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@1162410a
2024-07-23T19:06:38.378Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTime -> org.hibernate.type.BasicTypeReference@b09fac1
2024-07-23T19:06:38.378Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.ZonedDateTime -> org.hibernate.type.BasicTypeReference@b09fac1
2024-07-23T19:06:38.378Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithTimezone -> org.hibernate.type.BasicTypeReference@62df0ff3
2024-07-23T19:06:38.379Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration ZonedDateTimeWithoutTimezone -> org.hibernate.type.BasicTypeReference@61019f59
2024-07-23T19:06:38.379Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration date -> org.hibernate.type.BasicTypeReference@62e8f862
2024-07-23T19:06:38.379Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Date -> org.hibernate.type.BasicTypeReference@62e8f862
2024-07-23T19:06:38.379Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration time -> org.hibernate.type.BasicTypeReference@26f3d90c
2024-07-23T19:06:38.379Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Time -> org.hibernate.type.BasicTypeReference@26f3d90c
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration timestamp -> org.hibernate.type.BasicTypeReference@3c49fab6
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.sql.Timestamp -> org.hibernate.type.BasicTypeReference@3c49fab6
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Date -> org.hibernate.type.BasicTypeReference@3c49fab6
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar -> org.hibernate.type.BasicTypeReference@515f4131
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Calendar -> org.hibernate.type.BasicTypeReference@515f4131
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.GregorianCalendar -> org.hibernate.type.BasicTypeReference@515f4131
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_date -> org.hibernate.type.BasicTypeReference@74518890
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration calendar_time -> org.hibernate.type.BasicTypeReference@4c5204af
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration instant -> org.hibernate.type.BasicTypeReference@3f3ddbd9
2024-07-23T19:06:38.380Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.time.Instant -> org.hibernate.type.BasicTypeReference@3f3ddbd9
2024-07-23T19:06:38.381Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid -> org.hibernate.type.BasicTypeReference@14c053c6
2024-07-23T19:06:38.381Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.UUID -> org.hibernate.type.BasicTypeReference@14c053c6
2024-07-23T19:06:38.381Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration pg-uuid -> org.hibernate.type.BasicTypeReference@14c053c6
2024-07-23T19:06:38.382Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-binary -> org.hibernate.type.BasicTypeReference@6c2d4cc6
2024-07-23T19:06:38.383Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration uuid-char -> org.hibernate.type.BasicTypeReference@30865a90
2024-07-23T19:06:38.383Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration class -> org.hibernate.type.BasicTypeReference@6134ac4a
2024-07-23T19:06:38.384Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.lang.Class -> org.hibernate.type.BasicTypeReference@6134ac4a
2024-07-23T19:06:38.384Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration currency -> org.hibernate.type.BasicTypeReference@777c9dc9
2024-07-23T19:06:38.384Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration Currency -> org.hibernate.type.BasicTypeReference@777c9dc9
2024-07-23T19:06:38.385Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration java.util.Currency -> org.hibernate.type.BasicTypeReference@777c9dc9
2024-07-23T19:06:38.385Z DEBUG 48985 --- [           main] org.hibernate.type.BasicTypeRegistry     : Adding type registration locale -> org.hibernate.type.BasicTypeReference@71b1a49c
